graph                                                                             nodes         arcs    graph_memory_gib    load_time    partition    tasks_processed       triangles    counting_time    gpus    triangles_per_sec
---------------------------------------------------------------------------  ----------  -----------  ------------------  -----------  -----------  -----------------  --------------  ---------------  ------  -------------------
data/multi_gpu/eu-2015/eu-2015                                               1070557254  91792261600              683.91       686.38          128                392  15338196409949            62.71      32             2.45e+11
data/multi_gpu/uk-2007-02/uk-2007-02                                          110123614   3944932566               29.39        31.09           64                127    663713224270             1.45      32             4.58e+11
data/multi_gpu/uk-2007-01/uk-2007-01                                          108563230   3929837236               29.28        30.92           64                127    668826533027             1.87      32             3.57e+11
data/multi_gpu/uk-union-2006-06-2007-05/uk-union-2006-06-2007-05-underlying   133633040   5507679822               41.04        47.55           64                127    453830915910             5.08      32             8.93e+10
data/multi_gpu/gsh-2015/gsh-2015                                              988490691  33877399152              252.41       283.43           64                134    910140734636            30.38      32             3e+10
data/multi_gpu/uk-2014/uk-2014                                                787801471  47614527250              354.76       362.54           64                127   7872561225874            34.46      32             2.28e+11
data/multi_gpu/uk-2006-09/uk-2006-09                                          106288541   3871625613               28.85        29.96           64                127    518989781579            14.04      32             3.7e+10
data/multi_gpu/twitter-2010/twitter-2010                                       41652230   1468365182               10.94        29.65          129                257     34824916864            27.27      32             1.28e+09
data/multi_gpu/gsh-2015-host/gsh-2015-host                                     68660142   1802747600               13.43        23.57          128                255    520901310734             5         32             1.04e+11
data/multi_gpu/eu-2015/eu-2015                                               1070557254  91792261600              683.91       683.34          128                392  15338196409949            66.27      32             2.31e+11
data/multi_gpu/uk-2007-02/uk-2007-02                                          110123614   3944932566               29.39        31.13           64                127    663713224270             1.5       32             4.43e+11
data/multi_gpu/uk-2007-01/uk-2007-01                                          108563230   3929837236               29.28        30.77           64                127    668826533027             1.99      32             3.37e+11
data/multi_gpu/uk-union-2006-06-2007-05/uk-union-2006-06-2007-05-underlying   133633040   5507679822               41.04        47.53           64                127    453830915910             5.49      32             8.27e+10
data/multi_gpu/gsh-2015/gsh-2015                                              988490691  33877399152              252.41       283.9            64                134    910140734636            30.33      32             3e+10
data/multi_gpu/uk-2014/uk-2014                                                787801471  47614527250              354.76       363.01           64                127   7872561225874            39.15      32             2.01e+11
data/multi_gpu/uk-2006-09/uk-2006-09                                          106288541   3871625613               28.85        30.11           64                127    518989781579            13.66      32             3.8e+10
data/multi_gpu/twitter-2010/twitter-2010                                       41652230   1468365182               10.94        29.87          129                257     34824916864            27.14      32             1.28e+09
data/multi_gpu/gsh-2015-host/gsh-2015-host                                     68660142   1802747600               13.43        23.26          128                255    520901310734             5.1       32             1.02e+11
data/multi_gpu/uk-2007-02/uk-2007-02                                          110123614   3944932566               29.39        30.9            64                127    663713224270             1.48      32             4.5e+11
data/multi_gpu/uk-2007-01/uk-2007-01                                          108563230   3929837236               29.28        30.61           64                127    668826533027             2.02      32             3.31e+11
data/multi_gpu/uk-union-2006-06-2007-05/uk-union-2006-06-2007-05-underlying   133633040   5507679822               41.04        47.52          128                255    453830915910             4.83      32             9.41e+10
data/multi_gpu/gsh-2015/gsh-2015                                              988490691  33877399152              252.41       283.04           64                134    910140734636            29.87      32             3.05e+10
data/multi_gpu/uk-2014/uk-2014                                                787801471  47614527250              354.76       363.52           64                127   7872561225874            34.8       32             2.26e+11
data/multi_gpu/uk-2006-09/uk-2006-09                                          106288541   3871625613               28.85        30.03           64                127    518989781579            13.64      32             3.8e+10
data/multi_gpu/twitter-2010/twitter-2010                                       41652230   1468365182               10.94        29.61          129                257     34824916864            26.77      32             1.3e+09
data/multi_gpu/gsh-2015-host/gsh-2015-host                                     68660142   1802747600               13.43        23.4           128                255    520901310734             5         32             1.04e+11
data/multi_gpu/eu-2015/eu-2015                                               1070557254  91792261600              683.91       683.17          128                392  15338196409949            58.37      32             2.63e+11
data/multi_gpu/eu-2015/eu-2015                                               1070557254  91792261600              683.91       690.61          254                776  15338196409949            68.83      32             2.23e+11
data/multi_gpu/eu-2015/eu-2015                                               1070557254  91792261600              683.91       692.64          150                459  15338196409949            56.8       32             2.7e+11
data/multi_gpu/eu-2015/eu-2015                                               1070557254  91792261600              683.91       691.61           84                258  15338196409949            71.89      32             2.13e+11
