exe,graph,nrows,ncols,nnz,n_blocks,preprocessing_time,kernel_time,triangles,max_memory_consumption,static_memory
.././tribit,nemeth23.mtx,9506,9506,758158,17945,0.685,0.059,29056895,33232287,218172
.././tribit,wiki-Talk.mtx,2394385,2394385,5021410,49756269,5.023,114.789,9203519,222964007,218172
.././tribit,mycielskian15.mtx,24575,24575,5555555,5174079,3.845,14.461,0,249977107,218172
.././tribit,G_n_pin_pout.mtx,100000,100000,501198,110965,0.690,0.321,6762,23723779,218172
.././tribit,usroads.mtx,129164,129164,165435,17210,0.587,0.053,4237,7317599,218172
.././tribit,cage6.mtx,93,93,785,33,0.281,0.009,194,14867,218172
.././tribit,G65.mtx,8000,8000,16000,3944,0.507,0.017,0,775267,218172
.././tribit,enron.mtx,69244,69244,276143,46646,0.598,0.130,1067993,11411991,218172
.././tribit,hugetric-00020.mtx,7122792,7122792,10680777,1805084,6.474,6.408,0,471862815,218172
.././tribit,preferentialAttachment.mtx,100000,100000,499985,179315,0.775,0.500,4197,23516211,218172
.././tribit,G61.mtx,7000,7000,17148,3895,0.512,0.017,19,791271,218172
